CisloOtazky,ZneniOtazky,CisloMoznosti,ZneniMoznosti,ZakonProMoznost
1,Skupina občanů často kritizuje rozhodnutí právoplatně zvolené Rady ostrova. To zpomaluje a komplikuje výkon jejích rozhodnutí. Tito občané založili politickou skupinu a získávají si na ostrově stále více příznivců.,1,"Ponecháte záležitosti volný vývoj s tím, že skupinu omezíte pouze v případě, že začne vystupovat proti právům jiných lidí.",JE ZARUČNA SVOBODA PROJEVU A POLITICKÉHO SDRUŽOVÁNÍ.
1,Skupina občanů často kritizuje rozhodnutí právoplatně zvolené Rady ostrova. To zpomaluje a komplikuje výkon jejích rozhodnutí. Tito občané založili politickou skupinu a získávají si na ostrově stále více příznivců.,2,"Zakážete činnost této skupiny a uvězníte lidi, kteří nebudou vaše rozhodnutí respektovat.",JSOU ZAKÁZÁNY VŠECHNY POLITICKÉ SKUPINY KROMĚ TÉ VLÁDNOUCÍ.
1,Skupina občanů často kritizuje rozhodnutí právoplatně zvolené Rady ostrova. To zpomaluje a komplikuje výkon jejích rozhodnutí. Tito občané založili politickou skupinu a získávají si na ostrově stále více příznivců.,3,"Necháte skupinu formálně fungovat, ale zamezíte její účasti v příštích volbách do Rady ostrova.","FUNGOVÁNÍ JINÝCH POLITICKÝCH SKUPIN JE JEN FORMÁLNÍ. V TĚCHTO SKUPINÁCH SE SMĚJÍ OBČANÉ SDRUŽOVAT, ALE NEMAJÍ ŠANCI REÁLNĚ SE ÚČASTNIT VOLEB."
2,"Z jiného ostrova připlulo asi 500 lidí. Někteří utíkají před diktátorským režimem a válkou. Jiní hledají lepší podmínky pro život. Všechny ale spojují jiné zvyky, mluví cizím jazykem a přicházejí bez prostředků.",1,"Přijmete všechny bez rozlišení, komu opravdu hrozí nebezpečí a dovolíte jim, aby s vámi žili na ostrově.",PŘIJÍMÁTE A MATERIÁLNĚ PODPORUJETE VŠECHNY PŘÍCHOZÍ NA VÁŠ OSTROV.
2,"Z jiného ostrova připlulo asi 500 lidí. Někteří utíkají před diktátorským režimem a válkou. Jiní hledají lepší podmínky pro život. Všechny ale spojují jiné zvyky, mluví cizím jazykem a přicházejí bez prostředků.",2,"Odmítnete je všechny s tím, aby pokračovali v cestě.","ODMÍTÁTE VŠECHNY, VČETNĚ TĚCH, KTEŘÍ UTÍKAJÍ Z VÁLKY A HROZÍ JIM PRONÁSLEDOVÁNÍ."
2,"Z jiného ostrova připlulo asi 500 lidí. Někteří utíkají před diktátorským režimem a válkou. Jiní hledají lepší podmínky pro život. Všechny ale spojují jiné zvyky, mluví cizím jazykem a přicházejí bez prostředků.",3,"Přimete pouze ty běžence, kteří prokáží, že jim v jejich vlasti opravdu hrozí vážné nebezpečí.",POMOC A PŘIJETÍ LIDÍ SE POSUZUJE U KAŽDÉHO ZVLÁŠŤ PODLE ZÁVAŽNOSTI DŮVODŮ JEJICH ÚTĚKU.
3,"Jedna dvacetiletá dívka se u úřadů dovolává pomoci, protože jí rodina zakazuje sňatek, pro který se rozhodla a hrozí jí vyhnáním z domu. Tradice, k níž se její rodina hlásí, přikazuje, že výběr životního partnera závisí na rozhodnutí rodičů.",1,"Nebudete dívce pomáhat, protože jde o soukromou záležitost.",ÚŘADY NIJAK NEZASAHUJÍ DO RODINNÉHO ŽIVOTA.
3,"Jedna dvacetiletá dívka se u úřadů dovolává pomoci, protože jí rodina zakazuje sňatek, pro který se rozhodla a hrozí jí vyhnáním z domu. Tradice, k níž se její rodina hlásí, přikazuje, že výběr životního partnera závisí na rozhodnutí rodičů.",2,Zakážete tradici týkající se výběru partnerů rodiči a budete postihovat její dodržování.,JSOU ZAKÁZÁNY NUCENÉ SŇATKY A DODRŽOVÁNÍ TRADIC (JAKO JE VÝBĚR PARTNERA RODIČI) JE TRESTÁNO
3,"Jedna dvacetiletá dívka se u úřadů dovolává pomoci, protože jí rodina zakazuje sňatek, pro který se rozhodla a hrozí jí vyhnáním z domu. Tradice, k níž se její rodina hlásí, přikazuje, že výběr životního partnera závisí na rozhodnutí rodičů.",3,"Z veřejných zdrojů dívce zajistíte dočasné bydlení, aby mohla realizovat své rozhodnutí a pokusíte se zprostředkovat dialog s její rodinou.","JSOU RESPEKTOVÁNY KULTURNÍ TRADICE, ALE JE POSKYTOVÁNA PODPORA JEDINCŮM, KTEŘÍ NESOU NEGATIVNÍ NÁSLEDKY JEJICH NEDODRŽENÍ."
4,"Skupina občanů veřejně prezentuje svůj názor, že určité etnické a sexuální menšiny podrývají pořádek a dobrou morálku na ostrově. Tato skupina otevřeně usiluje o omezení některých práv členů menšin.",1,Budete činnost této skupiny ignorovat.,"NEVĚNUJE SE POZORNOST PŮSOBENÍ SKUPIN, KTERÉ USILUJÍ O POTLAČENÍ PRÁV PŘÍSLUŠNÍKŮ MENŠIN."
